分類１,分類２,分類３,分類４,分類５,分類６,品番,備考１,備考２
配線器具,コスモワイド21,スイッチ,表示なし,B（片切）,,WT5001,,
配線器具,コスモワイド21,スイッチ,表示なし,C（３路）,,WT5002,,
配線器具,コスモワイド21,スイッチ,表示なし,D（両切）,,WT5003K,,
配線器具,コスモワイド21,スイッチ,表示なし,E（４路）,,WT50049,,
配線器具,コスモワイド21,スイッチ,ほたる,B（片切）,,WT50519,,
配線器具,コスモワイド21,スイッチ,ほたる,C（３路）,,WT50529,,
配線器具,コスモワイド21,スイッチ,ほたる,E（４路）,,WT50549,,
配線器具,コスモワイド21,スイッチ,パイロットホタル,B（片切）,0.5A,WT50412,,
配線器具,コスモワイド21,スイッチ,パイロットホタル,B（片切）,4A,WT5041,,
配線器具,コスモワイド21,スイッチ,パイロットホタル,C（３路）,0.5A,WT50422,,
配線器具,コスモワイド21,スイッチ,パイロットホタル,C（３路）,4A,WT5042,,
配線器具,コスモワイド21,スイッチ,パイロット,B（片切）,0.5A,WT52412,,
配線器具,コスモワイド21,スイッチ,パイロット,B（片切）,4A,WT5241,,
配線器具,コスモワイド21,スイッチ,パイロット,C（３路）,0.5A,WT52422,,
配線器具,コスモワイド21,スイッチ,パイロット,C（３路）,4A,WT5242,,
配線器具,コスモワイド21,ハンドル,有有,シングル,,WT3031W,W/F,
配線器具,コスモワイド21,ハンドル,有有,ダブル,,WT3032W,W/F,
配線器具,コスモワイド21,ハンドル,有有,トリプル,,WT3033W,W/F,
配線器具,コスモワイド21,ハンドル,表示のみ,シングル,,WT3021W,W/F,
配線器具,コスモワイド21,ハンドル,表示のみ,ダブル,,WT3022W,W/F,
配線器具,コスモワイド21,ハンドル,表示のみ,トリプル,,WT3023W,W/F,
配線器具,コスモワイド21,ハンドル,ネームのみ,シングル,,WT3011W,W/F,
配線器具,コスモワイド21,ハンドル,ネームのみ,ダブル,,WT3012W,W/F,
配線器具,コスモワイド21,ハンドル,ネームのみ,トリプル,,WT3013W,W/F,
配線器具,コスモワイド21,ハンドル,無無,シングル,,WT3001W,W/F,
配線器具,コスモワイド21,ハンドル,無無,ダブル,,WT3002W,W/F,
配線器具,コスモワイド21,ハンドル,無無,トリプル,,WT3003W,W/F,
配線器具,コスモワイド21,コンセント,シングル,標準,,WT1001SW,W/F,
配線器具,コスモワイド21,コンセント,シングル,接地（Ｅ）,,WT1101SW,W/F,
配線器具,コスモワイド21,コンセント,シングル,接地ターミナル（ＥＥＴ）,,WT11313WK,W/F,
配線器具,コスモワイド21,コンセント,シングル,抜け止め,,WN1061SW,W/F,
配線器具,コスモワイド21,コンセント,ダブル,標準,,WTF1502WK,W/F,
配線器具,コスモワイド21,コンセント,ダブル,接地（２Ｅ）,,WTF13123WK,W/F,
配線器具,コスモワイド21,コンセント,ダブル,ターミナル（２ＥＴ）,,WTF1532WK,W/F,
配線器具,コスモワイド21,コンセント,ダブル,接地ターミナル（２ＥＥＴ）,,WT113238W,W/F,
配線器具,コスモワイド21,コンセント,トリプル,標準,,WTF13033WK,W/F,
配線器具,コスモワイド21,コンセント,高用量(15/20A兼用),シングル（１Ｐ）,100V,WN1821SW,W/F,
配線器具,コスモワイド21,コンセント,高用量(15/20A兼用),シングル接地ターミナル,100V,WTF19313WK,W/F,
配線器具,コスモワイド21,コンセント,高用量(15/20A兼用),接地,200V,WTF19223WK,W/F,
配線器具,コスモワイド21,コンセント,高用量(15/20A兼用),接地ターミナル,200V,WTF19324WK,W/F,
配線器具,コスモワイド21,その他,LAN,CAT6,,NR3170W,W/F,
